省份,地区,品牌,企业,水源地/城市,类型,执行标准,产品分类
安徽省,华东,龙津矿泉水,龙津矿泉水公司,安徽,地方品牌,GB 8537,天然矿泉水
福建省,华东,银鹭矿泉水,银鹭食品集团,厦门,地方品牌,GB 8537,天然矿泉水
福建省,华东,武夷山矿泉水,武夷山矿泉水公司,武夷山,地方品牌,GB 8537,天然矿泉水
上海市,华东,正广和,上海正广和饮用水有限公司,上海,区域品牌,GB 19298,包装饮用水
上海市,华东,统一,统一企业中国控股有限公司,上海,大型品牌,GB 19298,包装饮用水
江西省,华东,润田,江西润田饮料股份有限公司,南昌,区域品牌,GB 19298,包装饮用水
江西省,华东,润田翠,江西润田饮料股份有限公司,南昌,区域品牌,GB 8537,天然矿泉水
江西省,华东,庐山矿泉水,庐山矿泉水公司,庐山,地方品牌,GB 8537,天然矿泉水
江西省,华东,天赐泉,天赐泉矿泉水公司,宜春,地方品牌,GB 8537,天然矿泉水
河南省,华中,太行山矿泉水,太行山矿泉水公司,河南,地方品牌,GB 8537,天然矿泉水
河南省,华中,鸡公山矿泉水,鸡公山矿泉水公司,信阳,地方品牌,GB 8537,天然矿泉水
湖北省,华中,丹江水,丹江水饮品公司,十堰,地方品牌,GB 19298,包装饮用水
湖南省,华中,唯品矿泉水,唯品矿泉水公司,湖南,地方品牌,GB 8537,天然矿泉水
湖南省,华中,南山矿泉水,南山矿泉水公司,湖南,地方品牌,GB 8537,天然矿泉水
广东省,华南,怡宝,华润怡宝饮料（中国）有限公司,深圳,大型品牌,GB 19298,包装饮用水
广东省,华南,百岁山,深圳市景田食品饮料有限公司,深圳,大型品牌,GB 8537,天然矿泉水
广东省,华南,益力,益力饮用水公司,深圳,区域品牌,GB 8537,天然矿泉水
广东省,华南,鼎湖山泉,鼎湖山泉饮用水公司,肇庆,区域品牌,GB 19298,包装饮用水
广东省,华南,乐百氏,乐百氏（广东）饮用水有限公司,中山,区域品牌,GB 19298,包装饮用水
广西,华南,巴马丽琅,巴马丽琅饮料有限公司,河池巴马,区域品牌,GB 8537,天然矿泉水
广西,华南,九千万矿泉水,九千万矿泉水公司,广西,地方品牌,GB 8537,天然矿泉水
海南省,华南,火山岩矿泉水,火山岩矿泉水公司,海南,地方品牌,GB 8537,天然矿泉水
海南省,华南,椰树矿泉水,椰树集团,海口,地方品牌,GB 8537,天然矿泉水
四川省,西南,蓝剑饮品,蓝剑饮品集团有限公司,成都,区域品牌,GB 19298,包装饮用水
四川省,西南,全兴矿泉水,全兴矿泉水公司,四川,地方品牌,GB 8537,天然矿泉水
四川省,西南,峨眉山矿泉水,峨眉山矿泉水公司,峨眉山,地方品牌,GB 8537,天然矿泉水
重庆市,西南,天府矿泉水,天府矿泉水公司,重庆,地方品牌,GB 8537,天然矿泉水
重庆市,西南,中梁山矿泉水,中梁山矿泉水公司,重庆,地方品牌,GB 8537,天然矿泉水
云南省,西南,云南山泉,云南山泉水业有限公司,昆明,区域品牌,GB 19298,包装饮用水
云南省,西南,石林天外天,石林天外天矿泉水公司,石林,地方品牌,GB 8537,天然矿泉水
云南省,西南,大理苍山矿泉水,苍山矿泉水公司,大理,地方品牌,GB 8537,天然矿泉水
贵州省,西南,多彩贵州水,多彩贵州水公司,贵州,地方品牌,GB 19298,包装饮用水
贵州省,西南,梵净山矿泉水,梵净山矿泉水公司,铜仁,地方品牌,GB 8537,天然矿泉水
西藏,西南,5100西藏冰川,西藏5100水资源控股有限公司,当雄,高端品牌,GB 8537,天然矿泉水
西藏,西南,珠峰冰川矿泉水,珠峰冰川矿泉水公司,西藏,高端品牌,GB 8537,天然矿泉水
陕西省,西北,太白山矿泉水,太白山矿泉水公司,宝鸡,地方品牌,GB 8537,天然矿泉水
陕西省,西北,秦岭山泉,秦岭山泉水业公司,陕西,地方品牌,GB 19298,包装饮用水
甘肃省,西北,祁连山矿泉水,祁连山矿泉水公司,甘肃,地方品牌,GB 8537,天然矿泉水
青海省,西北,昆仑山矿泉水,加多宝集团,青海,高端品牌,GB 8537,天然矿泉水
青海省,西北,三江源矿泉水,三江源矿泉水公司,青海,地方品牌,GB 8537,天然矿泉水
宁夏,西北,贺兰山矿泉水,贺兰山矿泉水公司,宁夏,地方品牌,GB 8537,天然矿泉水
新疆,西北,天山矿泉水,天山矿泉水公司,新疆,地方品牌,GB 8537,天然矿泉水
新疆,西北,帕米尔矿泉水,帕米尔矿泉水公司,新疆,地方品牌,GB 8537,天然矿泉水
